=== ADS8688 History Data (Sample Count: 161280) ===
Index,CH0(V),CH1(V),CH2(V),CH3(V),CH4(V),CH5(V),CH6(V),CH7(V)
0,-6.7178,-1.4391,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
1,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
2,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
3,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
4,1.1209,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
5,1.4409,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
6,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
7,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
8,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
9,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
10,0.8009,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
11,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
12,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
13,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
14,1.1209,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
15,1.4409,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
16,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
17,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
18,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
19,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
20,1.1209,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
21,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
22,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
23,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
24,0.8009,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
25,1.4409,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
26,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
27,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
28,0.1609,-4.9591,-8.7991,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
29,1.1209,0.1609,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591,-9.7591
